id,product,quantity,price
1,Product A,10,100
2,Product B,5,200
3,Product C,8,150
4,Product D,12,80
5,Product E,7,120
6,Product F,3,300
7,Product G,8,250
8,Product H,15,90
9,Product I,6,180
10,Product J,9,220
11,Product A,11,100
12,Product B,6,200
13,Product C,9,150
14,Product D,13,80
15,Product E,8,120
16,Product F,4,300
17,Product G,9,250
18,Product H,16,90
19,Product I,7,180
20,Product J,10,220
21,Product A,12,100
22,Product B,7,200
23,Product C,10,150
24,Product D,14,80
25,Product E,9,120
26,Product F,5,300
27,Product G,10,250
28,Product H,17,90
29,Product I,8,180
30,Product J,11,220
31,Product A,13,100
32,Product B,8,200
33,Product C,11,150
34,Product D,15,80
35,Product E,10,120
36,Product F,6,300
37,Product G,11,250
38,Product H,18,90
39,Product I,9,180
40,Product J,12,220
41,Product A,14,100
42,Product B,9,200
43,Product C,12,150
44,Product D,16,80
45,Product E,11,120
46,Product F,7,300
47,Product G,12,250
48,Product H,19,90
49,Product I,10,180
50,Product J,13,220
